label,fileName
dog,dog/8824_dog.png
cat,cat/14574_cat.png
cat,cat/6758_cat.png
cat,cat/45625_cat.png
dog,dog/32833_dog.png
dog,dog/35652_dog.png
dog,dog/17733_dog.png
cat,cat/5601_cat.png
cat,cat/49386_cat.png
cat,cat/5838_cat.png
dog,dog/33294_dog.png
dog,dog/6615_dog.png
cat,cat/10454_cat.png
dog,dog/14682_dog.png
cat,cat/1070_cat.png
dog,dog/3198_dog.png
cat,cat/36961_cat.png
cat,cat/36707_cat.png
cat,cat/42920_cat.png
cat,cat/49906_cat.png
cat,cat/49713_cat.png
dog,dog/23238_dog.png
dog,dog/1810_dog.png
cat,cat/2141_cat.png
dog,dog/29386_dog.png
dog,dog/44555_dog.png
cat,cat/21250_cat.png
cat,cat/47494_cat.png
dog,dog/29132_dog.png
dog,dog/7776_dog.png
dog,dog/28389_dog.png
dog,dog/12485_dog.png
cat,cat/24305_cat.png
cat,cat/26716_cat.png
dog,dog/39649_dog.png
dog,dog/37537_dog.png
cat,cat/36527_cat.png
dog,dog/29037_dog.png
cat,cat/19771_cat.png
cat,cat/41486_cat.png
cat,cat/20882_cat.png
cat,cat/38931_cat.png
dog,dog/48412_dog.png
cat,cat/15247_cat.png
cat,cat/28700_cat.png
cat,cat/11011_cat.png
cat,cat/21913_cat.png
cat,cat/21655_cat.png
dog,dog/47753_dog.png
dog,dog/48328_dog.png
dog,dog/21258_dog.png
cat,cat/38903_cat.png
dog,dog/45814_dog.png
dog,dog/784_dog.png
dog,dog/45179_dog.png
cat,cat/8420_cat.png
cat,cat/27246_cat.png
cat,cat/45757_cat.png
dog,dog/28350_dog.png
cat,cat/35472_cat.png
dog,dog/31856_dog.png
dog,dog/47059_dog.png
cat,cat/7369_cat.png
dog,dog/38346_dog.png
dog,dog/1750_dog.png
dog,dog/767_dog.png
dog,dog/17880_dog.png
cat,cat/27605_cat.png
dog,dog/15686_dog.png
cat,cat/22025_cat.png
cat,cat/14466_cat.png
cat,cat/46841_cat.png
cat,cat/32986_cat.png
dog,dog/42505_dog.png
dog,dog/3370_dog.png
dog,dog/5270_dog.png
dog,dog/3993_dog.png
dog,dog/15894_dog.png
cat,cat/10870_cat.png
dog,dog/13456_dog.png
dog,dog/28342_dog.png
cat,cat/49825_cat.png
cat,cat/45778_cat.png
cat,cat/5053_cat.png
cat,cat/28356_cat.png
cat,cat/39852_cat.png
cat,cat/43850_cat.png
cat,cat/38095_cat.png
dog,dog/41034_dog.png
dog,dog/40430_dog.png
dog,dog/3496_dog.png
dog,dog/18288_dog.png
dog,dog/13676_dog.png
dog,dog/44665_dog.png
cat,cat/22143_cat.png
dog,dog/49523_dog.png
cat,cat/40603_cat.png
cat,cat/45857_cat.png
dog,dog/5872_dog.png
dog,dog/42613_dog.png
dog,dog/44284_dog.png
dog,dog/30793_dog.png
cat,cat/47998_cat.png
cat,cat/17478_cat.png
dog,dog/46901_dog.png
dog,dog/27016_dog.png
dog,dog/31647_dog.png
cat,cat/38976_cat.png
cat,cat/18499_cat.png
dog,dog/20087_dog.png
dog,dog/45181_dog.png
dog,dog/8039_dog.png
dog,dog/18830_dog.png
cat,cat/15714_cat.png
dog,dog/12655_dog.png
cat,cat/28308_cat.png
cat,cat/25983_cat.png
dog,dog/13528_dog.png
cat,cat/5072_cat.png
dog,dog/10632_dog.png
dog,dog/6259_dog.png
cat,cat/15603_cat.png
dog,dog/24831_dog.png
cat,cat/45082_cat.png
dog,dog/12135_dog.png
cat,cat/14800_cat.png
cat,cat/5479_cat.png
cat,cat/42740_cat.png
cat,cat/20121_cat.png
cat,cat/30338_cat.png
dog,dog/40763_dog.png
cat,cat/46757_cat.png
cat,cat/10430_cat.png
cat,cat/36926_cat.png
dog,dog/28404_dog.png
cat,cat/11727_cat.png
cat,cat/22611_cat.png
dog,dog/26024_dog.png
cat,cat/45854_cat.png
dog,dog/35918_dog.png
dog,dog/19350_dog.png
cat,cat/36951_cat.png
dog,dog/49682_dog.png
cat,cat/20034_cat.png
cat,cat/15300_cat.png
dog,dog/25180_dog.png
cat,cat/1856_cat.png
dog,dog/12371_dog.png
cat,cat/7500_cat.png
dog,dog/22493_dog.png
cat,cat/6404_cat.png
dog,dog/5886_dog.png
cat,cat/20929_cat.png
cat,cat/9591_cat.png
dog,dog/23385_dog.png
dog,dog/24959_dog.png
dog,dog/47884_dog.png
dog,dog/9301_dog.png
cat,cat/28592_cat.png
dog,dog/32425_dog.png
dog,dog/33430_dog.png
dog,dog/41360_dog.png
cat,cat/21909_cat.png
cat,cat/43126_cat.png
dog,dog/12310_dog.png
dog,dog/5561_dog.png
cat,cat/35215_cat.png
dog,dog/34524_dog.png
cat,cat/17655_cat.png
dog,dog/24822_dog.png
cat,cat/2068_cat.png
cat,cat/44562_cat.png
dog,dog/18762_dog.png
dog,dog/42731_dog.png
cat,cat/7086_cat.png
cat,cat/47866_cat.png
dog,dog/24153_dog.png
cat,cat/36601_cat.png
cat,cat/39366_cat.png
dog,dog/22232_dog.png
cat,cat/16808_cat.png
cat,cat/15016_cat.png
cat,cat/24443_cat.png
dog,dog/5760_dog.png
dog,dog/26028_dog.png
dog,dog/2657_dog.png
cat,cat/49384_cat.png
cat,cat/7138_cat.png
cat,cat/1655_cat.png
cat,cat/20335_cat.png
dog,dog/45469_dog.png
dog,dog/46669_dog.png
dog,dog/1134_dog.png
dog,dog/46924_dog.png
dog,dog/46441_dog.png
dog,dog/49452_dog.png
cat,cat/45783_cat.png
dog,dog/49707_dog.png
dog,dog/4699_dog.png
cat,cat/13957_cat.png
dog,dog/107_dog.png
dog,dog/44358_dog.png
cat,cat/17337_cat.png
cat,cat/49970_cat.png
dog,dog/49172_dog.png
cat,cat/40304_cat.png
cat,cat/13862_cat.png
cat,cat/49741_cat.png
dog,dog/6874_dog.png
dog,dog/49703_dog.png
cat,cat/23376_cat.png
cat,cat/18362_cat.png
dog,dog/31578_dog.png
cat,cat/11623_cat.png
dog,dog/44687_dog.png
cat,cat/7533_cat.png
cat,cat/13202_cat.png
dog,dog/31111_dog.png
dog,dog/23774_dog.png
cat,cat/15872_cat.png
dog,dog/4641_dog.png
cat,cat/46950_cat.png
cat,cat/41108_cat.png
cat,cat/33318_cat.png
dog,dog/47463_dog.png
cat,cat/22548_cat.png
cat,cat/41694_cat.png
dog,dog/45583_dog.png
cat,cat/9720_cat.png
dog,dog/3451_dog.png
cat,cat/19068_cat.png
cat,cat/1568_cat.png
dog,dog/6033_dog.png
dog,dog/27893_dog.png
dog,dog/2549_dog.png
cat,cat/19837_cat.png
dog,dog/39677_dog.png
cat,cat/16814_cat.png
cat,cat/6981_cat.png
dog,dog/37740_dog.png
dog,dog/31347_dog.png
cat,cat/33159_cat.png
dog,dog/37419_dog.png
cat,cat/44219_cat.png
cat,cat/20418_cat.png
cat,cat/17047_cat.png
cat,cat/36077_cat.png
dog,dog/11949_dog.png
dog,dog/40555_dog.png
dog,dog/42924_dog.png
cat,cat/18240_cat.png
cat,cat/46503_cat.png
dog,dog/13411_dog.png
dog,dog/19012_dog.png
dog,dog/17376_dog.png
cat,cat/20215_cat.png
cat,cat/44819_cat.png
dog,dog/46274_dog.png
cat,cat/20091_cat.png
cat,cat/22253_cat.png
cat,cat/6716_cat.png
dog,dog/35993_dog.png
dog,dog/4548_dog.png
cat,cat/21468_cat.png
dog,dog/29857_dog.png
dog,dog/49482_dog.png
dog,dog/31641_dog.png
cat,cat/33525_cat.png
cat,cat/32261_cat.png
cat,cat/38648_cat.png
dog,dog/3547_dog.png
dog,dog/35735_dog.png
dog,dog/13651_dog.png
cat,cat/49762_cat.png
dog,dog/20320_dog.png
cat,cat/42012_cat.png
dog,dog/24702_dog.png
dog,dog/21266_dog.png
cat,cat/43490_cat.png
cat,cat/49499_cat.png
dog,dog/27141_dog.png
cat,cat/10931_cat.png
dog,dog/45903_dog.png
dog,dog/26529_dog.png
cat,cat/36159_cat.png
cat,cat/22135_cat.png
cat,cat/43726_cat.png
dog,dog/3421_dog.png
dog,dog/2621_dog.png
cat,cat/29936_cat.png
dog,dog/15575_dog.png
dog,dog/38118_dog.png
cat,cat/19412_cat.png
cat,cat/43800_cat.png
dog,dog/10740_dog.png
cat,cat/42192_cat.png
cat,cat/6405_cat.png
dog,dog/46961_dog.png
cat,cat/34294_cat.png
dog,dog/28947_dog.png
dog,dog/21961_dog.png
cat,cat/4007_cat.png
cat,cat/22245_cat.png
cat,cat/17660_cat.png
dog,dog/33338_dog.png
cat,cat/48931_cat.png
cat,cat/30817_cat.png
cat,cat/33007_cat.png
dog,dog/25272_dog.png
dog,dog/30046_dog.png
dog,dog/31543_dog.png
cat,cat/16295_cat.png
cat,cat/27020_cat.png
dog,dog/7935_dog.png
dog,dog/19819_dog.png
dog,dog/33723_dog.png
dog,dog/46087_dog.png
dog,dog/35495_dog.png
cat,cat/36772_cat.png
cat,cat/43283_cat.png
cat,cat/8349_cat.png
dog,dog/22483_dog.png
cat,cat/29200_cat.png
cat,cat/3248_cat.png
cat,cat/46230_cat.png
cat,cat/1281_cat.png
cat,cat/49227_cat.png
cat,cat/12039_cat.png
dog,dog/38140_dog.png
dog,dog/48139_dog.png
cat,cat/3709_cat.png
cat,cat/47475_cat.png
dog,dog/31867_dog.png
dog,dog/34411_dog.png
cat,cat/15642_cat.png
cat,cat/43685_cat.png
dog,dog/28691_dog.png
cat,cat/47788_cat.png
cat,cat/3756_cat.png
cat,cat/41989_cat.png
cat,cat/11531_cat.png
dog,dog/5510_dog.png
cat,cat/28608_cat.png
cat,cat/37091_cat.png
cat,cat/25447_cat.png
cat,cat/14554_cat.png
dog,dog/21286_dog.png
cat,cat/42011_cat.png
dog,dog/2940_dog.png
dog,dog/17665_dog.png
dog,dog/46762_dog.png
dog,dog/30231_dog.png
cat,cat/28253_cat.png
dog,dog/33579_dog.png
dog,dog/14185_dog.png
dog,dog/42409_dog.png
dog,dog/25662_dog.png
cat,cat/11119_cat.png
dog,dog/41720_dog.png
dog,dog/3028_dog.png
dog,dog/32782_dog.png
dog,dog/45477_dog.png
cat,cat/11268_cat.png
dog,dog/17141_dog.png
cat,cat/44943_cat.png
cat,cat/24192_cat.png
dog,dog/40799_dog.png
cat,cat/42417_cat.png
cat,cat/39609_cat.png
dog,dog/38882_dog.png
cat,cat/48772_cat.png
dog,dog/20075_dog.png
dog,dog/10423_dog.png
cat,cat/36222_cat.png
dog,dog/30308_dog.png
cat,cat/19673_cat.png
cat,cat/15741_cat.png
dog,dog/18189_dog.png
dog,dog/22666_dog.png
dog,dog/13548_dog.png
cat,cat/9995_cat.png
dog,dog/47357_dog.png
cat,cat/31136_cat.png
cat,cat/22411_cat.png
cat,cat/34710_cat.png
dog,dog/35190_dog.png
dog,dog/18845_dog.png
dog,dog/18096_dog.png
dog,dog/37086_dog.png
dog,dog/16403_dog.png
dog,dog/47054_dog.png
dog,dog/18016_dog.png
dog,dog/42222_dog.png
dog,dog/4662_dog.png
dog,dog/10586_dog.png
cat,cat/25882_cat.png
dog,dog/5305_dog.png
cat,cat/8908_cat.png
cat,cat/9107_cat.png
cat,cat/45921_cat.png
cat,cat/19839_cat.png
dog,dog/37471_dog.png
dog,dog/37006_dog.png
dog,dog/9104_dog.png
dog,dog/1280_dog.png
cat,cat/47526_cat.png
cat,cat/26436_cat.png
dog,dog/24006_dog.png
cat,cat/35032_cat.png
cat,cat/43573_cat.png
cat,cat/29215_cat.png
dog,dog/28857_dog.png
cat,cat/7532_cat.png
cat,cat/16780_cat.png
dog,dog/35497_dog.png
cat,cat/44631_cat.png
dog,dog/10669_dog.png
dog,dog/20692_dog.png
cat,cat/24330_cat.png
dog,dog/851_dog.png
cat,cat/49083_cat.png
cat,cat/9311_cat.png
dog,dog/4312_dog.png
cat,cat/9164_cat.png
dog,dog/49548_dog.png
cat,cat/12798_cat.png
cat,cat/18180_cat.png
cat,cat/2648_cat.png
cat,cat/10048_cat.png
cat,cat/9892_cat.png
cat,cat/8162_cat.png
dog,dog/21556_dog.png
cat,cat/25235_cat.png
cat,cat/29451_cat.png
cat,cat/3190_cat.png
cat,cat/4439_cat.png
cat,cat/27064_cat.png
dog,dog/34458_dog.png
dog,dog/38819_dog.png
dog,dog/49070_dog.png
cat,cat/3870_cat.png
dog,dog/28852_dog.png
cat,cat/32320_cat.png
dog,dog/40053_dog.png
cat,cat/38956_cat.png
dog,dog/21616_dog.png
cat,cat/23772_cat.png
cat,cat/22979_cat.png
cat,cat/45933_cat.png
cat,cat/34822_cat.png
dog,dog/36435_dog.png
cat,cat/30772_cat.png
cat,cat/10452_cat.png
dog,dog/46597_dog.png
cat,cat/45754_cat.png
cat,cat/30266_cat.png
cat,cat/36140_cat.png
cat,cat/27361_cat.png
